name,website,company-overview
Abbotts (S.W.) Ltd,http://www.abbotts.info,Abbotts Catering Supplies & Event Hire can supply anything from elegant crockery to luxury events toilets for any hospitality establishment or event.
Action Fire South West,http://www.actionfiresouthwest.co.uk,"Fire extinguishers, alarms and wireless CCTV."
Admaps Ltd,http://www.admaps.co.uk,Specialising in designing and distributing detailed free tourist information maps of Cornwall for local businesses to advertise on. Visit our stand to pick up a free set of maps and to see our new products.
Aloha 65,http://www.aloha65.com,"Aloha 65 is a fun new spirit with a difference. It's not gin, it's not rum, it's Aloha! - a fun and truly versatile, all-natural, pure grain spirit infused with fresh pineapple, lemon, ginger, scotch bonnet chillies and a handful of other carefully selected herbs and spices."
Alpha Logic,http://www.alpha-logic.com,Waste Management & Recycling. Specialising in food recycling.
AnDigestion Ltd,http://andigestion.com,"Andigestion operate commercial AD plants in the UK. Processing industrial and domestic food waste to create renewable energy and a nutrient rich fertiliser. Working with local authorities, waste contractors, industry, local food producers and farmers to develop cost effective and efficient waste processing."
Antonelli Brothers,http://www.antonelli.co.uk,We are a 4th generation family business manufacturing the finest quality ice-cream cones in the UK. We supply premium ingredients and have an academy/training facility to support all makers of ice-cream and gelato.
"Arthur David, Food with Service Ltd",http://arthurdavid.co.uk,"Arthur David, Food with Service is a food service distribution company that has been supplying the catering industry for over 50 years. Delivering 6 days a week, with orders being taken up to 11pm for next day delivery. #Leaveitwithus"
ASAP Nottingham Ltd,http://www.asapnottingham.co.uk,"We manufacture, service and sell mobile cooking oil/fat filtration machines. We also repair all types of mobile filter machines as well as sell the filter papers for the machines."
Atlantic Brewery,http://www.atlanticbrewery.com,"We are an organic micro brewery and distillery based on the outskirts of Newquay producing a range of finely crafted beers, gins, vodka and liqueurs."
Aviko (UK),http://www.aviko.co.uk,"Aviko provide a range of premium fries, chips, sumptuous sides, appetisers and classic potato products to restaurants, pubs, casual dining, takeaways, hotels, schools and caterers. High-quality, profitable, delicious food enjoyed by customers around the world."
