name,website,actual-website,company-overview
3 Ases Bodegas Y ViÃ±edos,https://s3-eu-west-1.amazonaws.com/livebuzz-web-modules/releases/v1-latest-prod/index.html#/exhibitors/3-ases-bodegas-y-vinedos,http://www.3asesvino.com/,"3Ases is a winery in the heart of the Ribera de Duero region that’s committed to quality, hard work and passion.
Our limited production means that all processes are controlled down to the very last detail from the vineyard to the bottle, harvesting the grapes
by hand which are transported in boxes and then fermented under controlled conditions using only local yeasts, ensuring the wines are truly expressive
of their region.
This is the project of 3friends, 3partners and 3Ases who have been dedicated
to this enterprise “a small but great company”, in one of Spain’s most famous wine region."
3R Telecom,https://s3-eu-west-1.amazonaws.com/livebuzz-web-modules/releases/v1-latest-prod/index.html#/exhibitors/3r-telecom,https://3rtelecom.co.uk/,"3R offers industry –leading EPOS Solutions and integrated counter top or wireless payment solutions and Mobile top up at a very competitive rate. Coupled with durable, secure hardware, is our signature EPOS software CES Touch. CES Touch boasts a variety of features, such as News Delivery Round, Full Stock control, Intensive operator management and in-depth financial reporting also full cloud business analytics. Our software also links directly to a wide range of Symbol Groups (Londis, Booker, Premier, Budgens, Shop Local, Bestone and Nisa) take advantage of EDN’s and atomized promotions. Above all 3R provides best customer service to all their customers 24x7x365 from UK served Office."
5th Season,https://s3-eu-west-1.amazonaws.com/livebuzz-web-modules/releases/v1-latest-prod/index.html#/exhibitors/5th-season,https://5thseasonfruit.com/,"5th Season Fruit is a Healthy snacking brand with a simple mission, to get people eating more fruit, and by doing so, tackle the issues of obesity and diseases associated with not achieving 5-a-day. We love fresh fruit, but we understand that it’s not always convenient to eat on the go when you have to consider preparation & shelf life."
6 Oâ€™clock Gin,https://s3-eu-west-1.amazonaws.com/livebuzz-web-modules/releases/v1-latest-prod/index.html#/exhibitors/bramley-gage-ltd,https://www.6oclockgin.com/,"6 O’clock Gin is a range of strikingly smooth artisan gins, handcrafted in small batches in Bristol, using traditional skills and only the best natural ingredients."
6 O'clock Gin,https://s3-eu-west-1.amazonaws.com/livebuzz-web-modules/releases/v1-latest-prod/index.html#/exhibitors/6-oclock-gin,https://www.6oclockgin.com/,"6 O’clock Gin is a range of strikingly smooth artisan gins, handcrafted in small batches in Bristol, using traditional skills and only the best natural ingredients."
88 Vape,https://s3-eu-west-1.amazonaws.com/livebuzz-web-modules/releases/v1-latest-prod/index.html#/exhibitors/88-vape,http://www.supremeoffers.co.uk/,"88vape is the UK’s No.1 £1 e-liquid, made in Manchester by Supreme Imports. Despite the low cost, 88vape e-liquids are made from the finest pharmaceutical grade ingredients and we go the extra mile to ensure that all of our products and packaging adhere to the necessary regulations. More importantly, our e-liquids are delicious and our experienced vape staff are always working on exciting new formulations to not only keep up with the industry, but to be the industry leaders."
Acerchem B.V.,https://s3-eu-west-1.amazonaws.com/livebuzz-web-modules/releases/v1-latest-prod/index.html#/exhibitors/acerchem-bv,http://www.acerchem.com/,"We are Acerchem, dietary supplements and nutraceuticals supplier with warehouse in Rotterdam the Netherlands and UK. We’ve been providing reliable service to EU and UK clients for over 13 years. Our strength are plant-based proteins, herbal extracts and amino acids as well as NPD solutions. We are confident to support our clients grow their business during the pandemic period with quality ingredients and reliable supply chain service."
Actemium UK Limited,https://s3-eu-west-1.amazonaws.com/livebuzz-web-modules/releases/v1-latest-prod/index.html#/exhibitors/actemium-uk-limited,https://actemium.co.uk/,"Actemium is the VINCI Energies brand dedicated to industry.
Operating throughout the entire industrial life cycle,
Actemium designs, builds and maintains its customers’
facilities, with the goal of improving their industrial
performance.
Our business units are located close to your production sites,
thus building long-term relationships with our customers.
Thanks to the profound knowledge of the customer’s
processes and equipment, equipment, Actemium is able to
design and implement customised solutions."
Active Robots Ltd (Active8 Robots),https://s3-eu-west-1.amazonaws.com/livebuzz-web-modules/releases/v1-latest-prod/index.html#/exhibitors/active-robots-ltd-active8-robots,https://www.active8robots.com/,Active8 Robots are a leading UK based Industrial & Collaborative Robot integrator and Automation Systems supplier. For many years we have been providing automation solutions to all sectors of manufacturing industry.
ADRIATEH,https://s3-eu-west-1.amazonaws.com/livebuzz-web-modules/releases/v1-latest-prod/index.html#/exhibitors/adriateh,https://adriateh.hr/,"Started as a small family firm in 1996, Adriateh developed an International Business spreading across 4 Continents and more than 40 Countries.
Our products are recognized as extraordinary in functionality and quality, followed by avant-garde aesthetics and a high user experience."
Advanced Dynamics Ltd,https://s3-eu-west-1.amazonaws.com/livebuzz-web-modules/releases/v1-latest-prod/index.html#/exhibitors/advanced-dynamics-ltd,https://advanceddynamics.co.uk/,Our company is built around one simple philosophy; to be the most proactive and supportive business in the packaging industry.
Agriflex S.r.l.,https://s3-eu-west-1.amazonaws.com/livebuzz-web-modules/releases/v1-latest-prod/index.html#/exhibitors/agriflex-srl,https://www.agriflex.it/,"Agriflex has been leader worldwide for over forty years in the concept & design, manufacture and installation of systems for the storage, dosing, conveying, automation and of raw materials (micro and macro, powder, liquid and granules) for the food industry, devoting accurate attention to the current regulations for products hygiene, safety and quality.
Agriflex has greatly widened its own commercial network worldwide and it can now count on an export activity of over 85% of the whole turnover. The customers are world-wide reputed food industries and our systems address to several types of production and process needs and specs.
Such diversification is possible thanks to the diverse project solutions that employ our capacities, energies and production potentials, under all kinds of logistic as well as production and project aspects, which we are able to build around to the various needs of our customers and their specifications, in fact all systems are tailored-made."
Agrofusion,https://s3-eu-west-1.amazonaws.com/livebuzz-web-modules/releases/v1-latest-prod/index.html#/exhibitors/agrofusion,https://www.inagro.ua/,"Agrofusion is a vertically integrated group of companies: we do seeding, nursing tomato plants in greenhouses, rowing tomatoes, and processing them into Inagro™ tomato paste. Established in 2007 and located in the South of Ukraine — traditional tomato growing region.We are constantly expanding the range of Agrofusion products to meet our customers’ requirements optimally. Inagro™ — concentrated tomato products of premium quality. By using CB, WB, HB or SHB technology, we can obtain any concentration of tomato product, according to the exclusive customer specification. Our product range consists f 15 CB, 28/30 CB, HB, WB, 28 SHB, 28/30 CB organic, 30/32 HB and 36/38 tomato paste. We offer organic and conventional tomato powder CB, HB. The tomato powder is made from 100% tomatoes, grown by Agrofusion using Filtermat technology. Located in the Central Europe with easy access to land and water transport we provide fast and effective service to our customers all over the world."
Ahmad Tea Of London,https://s3-eu-west-1.amazonaws.com/livebuzz-web-modules/releases/v1-latest-prod/index.html#/exhibitors/ahmad-tea-of-london,https://www.ahmadtea.com/,"We are a family company founded and run on family values. That means consistently working together year after year, never compromising on our beliefs and always being guided by our shared goals. We only work with the finest tea gardens around the world and we view our tea growers as a natural extension of the Ahmad Tea family. Every blend is sampled seven times during the journey from being plucked to your cup – a process overseen by our Chairman, Mr Rahim Afshar, and his team of world-leading Tea Masters. Nothing leaves our tasting room until we are sure it is an extraordinary cup of tea, destined to inspire tea lovers everywhere."
Air Products Plc,https://s3-eu-west-1.amazonaws.com/livebuzz-web-modules/releases/v1-latest-prod/index.html#/exhibitors/air-products-plc,https://www.airproducts.co.uk/industries/food,"Food grade gases have a multitude of applications within the food industry, engineered to help drive production benefits, minimise food waste, improve quality and food safety, and increase shelf life."
AIRSERV,https://s3-eu-west-1.amazonaws.com/livebuzz-web-modules/releases/v1-latest-prod/index.html#/exhibitors/airserv,http://www.air-serv.co.uk/,"Air-serv is the market leader in the supply of Forecourt vending equipment with over 10,000 machines installed in the UK.
Air- serv has over 34 years experience operating in the UK and has built long standing relationships with Oil Companies, Supermarkets and Independent Forecourt Operators by gaining their trust through providing UK Manufactured, reliable Air, Vacuum and Jet Wash units and supporting that with Market leading and Nationwide service engineers and technical support staff.
Air-serv in partnership with Aquarama are introducing a New Car Wash range to its clients, we believe that with our customer service experience, we can offer our clients a better option than our competitors in the market
Air-serv Specializes in all inclusive Revenue Share and Rental solutions that benefit our client with No capital outlay or maintenance worries and we also have capital purchase available
Contactless Payment systems available on our complete range
Turtle Wax Professional chemical"
Alliance Fluid Handling Ltd,https://s3-eu-west-1.amazonaws.com/livebuzz-web-modules/releases/v1-latest-prod/index.html#/exhibitors/alliance-fluid-handling-ltd,http://www.alliancefluidhandling.com/,"Alliance Fluid Handling are leading suppliers of Process Spare Parts, Service & Equipment for the Dairy, Food, Beverage, Chemical, Cosmetic and Pharma Process industries worldwide."
