name,website,address
Bestway Wholesale Ltd incorporating Batleys Cash & Carry,http://www.bestway.co.uk,"Abbey Road,
            
            Park Royal London
            
            NW10 7BW"
Bidfood,http://www.bidfood.co.uk,"814 Leigh Road Slough,
            
            Berkshire
            
            SL1 4BD"
AF Blakemore & Sons,http://www.afblakemore.com,"Unit 4N, Coxwell Avenue,
            


            Wolverhampton Science Park,
            
            Wolverhampton,
            
            West Midlands
            
            WV10 9RT"
Booker Group,http://www.booker.co.uk,"Equity House,
            
            Irthlingborough Road,
            
            Wellingborough
            
            Northamptonshire,
            
            NN8 1LT"
Brakes UK,http://www.brakesgroup.co.uk,"Enterprise House,
            
            Eureka Business Park,
            
            Ashford,
            
            Kent
           




            TN25 4AG"
Caterforce,https://www.caterforce.co.uk/our-members,"Buying Group:
            
             7 members"
Confex,http://confex.ltd.uk/member_categories.asp,"Buying Group:
            
             245 members"
Costco UK,http://www.costco.co.uk,"UK Home Office,
            
            Hartspring Lane,
            
            Watford,
            
            Hertfordshire
            
            WD25 8JS"
Country Range Group,http://www.countryrange.co.uk/where-to-buy/,"Buying Group:
            
             12 members"
DCS Group,http://www.dcsinc.co.uk,"Ocean House, Noral Way
            
            Banbury, Oxon Ox16 2AA"
Dhamecha Group,http://www.dhamecha.com,"Wembley Stadium Industrial Estate,
            
            First Way,
            
            Wembley
            
            HA90TU"
East End Foods PLC,http://www.eastendfoods.co.uk,"East End House,
            
            Kenrick Way,
            
            West Bromwich
            
            West Midlands
            
            B71 4EA"
Fairway Foodservice,https://www.fairwayfoodservice.com/membership/,"Buying Group –
            
             20 members"
HT & Co Drinks,http://www.htdrinks.co.uk,"31-37 Park Royal Road Park Royal,
            
            London
            
            NW10 7LQ"
Hyperama Wholesale,http://www.hyperama.com,"Bull Close Road
            
            Lenton Ind Estate
            
            Nottingham
           




            NG7 2UT"
JJ Food Service,http://www.jjfoodservice.com,"7 Solar Way
            




            Innova Park
            




            Enfield
           




            Middlesex
            




            EN3 7XY"
JW Filshill,http://www.filshill.co.uk,"Ainslie Avenue, Hillington Industrial Estate,
           


            Glasgow G52 4HE"
Kitwave Wholesale Group,http://www.kitwave.co.uk,"Unit S3,
            
            Narvik Way
            
            Tyne Tunnel Estate
            
            North Shields
           




            Tyne & Wear
            
            NE29 7XJ"
Parfetts,http://www.parfetts.co.uk,"Didsbury Road
            
            Stockport
            
            Cheshire
           




            SK4 2JP"
Ramsden International,http://www.ramsden-international.com,"(Trading name: S.D.Ramsden & Co Ltd)
            


            Adam Smith Street
            


            Grimsby
            


            DN31 1SJ"
Sterling Supergroup,http://www.sterlingsgroup.co.uk/members/,"Buying Group –
            
             40 members"
Sugro UK,http://www.sugro.co.uk/Wholesalers.html,"Buying group –
            
             84 members"
Suma Wholefoods,http://www.suma.coop,"Lacy Way
           




            Lowfields Business Park
            
            Elland
            
            HX5 9DB"
Time Wholesale Services,http://www.timews.co.uk,"Unit 1&1a Fairview Industrial Park
            
            Marsh Way, Rainham, Essex RM13 8UH"
United Wholesale Grocers Ltd,http://www.uwgl.co.uk,"Springburn
           




            246 Flemington Street
            
            Glasgow
            
            G21 4BY"
United Wholesale (Scotland) Ltd,http://www.uniteduk.co.uk,"110 Easter Queenslie Road
            
            Glasgow
            
            G33 4UL"
