name,website,actual-website,address,company-overview
1 Tree Cards,https://homeandgift.co.uk/exhibitor/1-tree-cards,1treecards.com,"Norwich, United Kingdom","Our cards are on a mission to save the planet! 1 tree planted per card + a seed token inside which can be planted to grow beautiful bee-friendly flowers. 'Eco' is now mainstream and we are filling this gap in the greeting card market. 100% recycled, printed with vegan inks & available either naked or in compostable/biodegradable sleeves. Consumers are starting to care more about how the products they buy and the businesses they support are affecting the planet. 1 Tree Cards is mission-driven which allows us to incorporate different styles into our 300+ designs. We have something to suit everyone. Come & say hello!"
2 toTango Ltd,https://homeandgift.co.uk/exhibitor/2-totango-ltd,https//2-to-tango.com,"London, United Kingdom","2toTango publishes high-end pop-up greeting cards. Our cards have the WOW factor, are perfect as gifts and can be collected and framed. Check out our new ranges – MEADOWS, CATS - and the BEE ON FLOWER design. GARDENS postponed to 2021 because of Covid-19. And to see all our ranges and designs visit https://www.2-to-tango.com"
Abbeyhorn (Established 1749),https://homeandgift.co.uk/exhibitor/abbeyhorn-established-1749,www.abbeyhorn.co.uk,"Kendal, United Kingdom","Welcome to the world of Abbeyhorn, please come and visit our stand DP1-C48 to see the amazing things we can produce from Horn. We are the last remaining horn works of our size in the UK, and we can trace our roots back to the 17th Century when the art of horn carving was prolific. Today’s Artisans still use these traditional skills, handed down over generations, to produce a unique range of natural and appealing gifts. Paul, Abbeyhorn's owner, started as an apprentice Horn Carver back in 1980, he loved the company so much that he bought it in 1991 and moved us from Kendal, to the little village of Holme on the cusp of the Lake District. We have 9 Horn crafts people in our on-site factory, 1 member of staff in the packing room, 2 ladies in the Office and Paul the Owner/Director. Abbeyhorn is very proud to source our raw materials from ethical sources. The Ankole Cow Horn is a by-product of the meat industry in Nigeria, and our Antler comes from a herd of Red Deer in Scotland which is collected by hand when they shed them between April and June. These horns would just be discarded, so instead we hand make them into beautiful individual gifts and homeware. No two pieces of horn are ever the same in colouration or size, so every piece we produce is unique. Over the years Abbeyhorn has produced props for several films and TV programs and are very proud to be the official manufacturer of the Horn mugs seen on the cult series “Game Of Thrones”, and the horn cups for “Vikings”. “How it’s made” recently filmed in our factory and this will go live at the end of April. Abbeyhorn has an extensive range from the traditional to the unusual and are always looking for new ideas to extend the collection. This year we would like to showcase our New Oak Shoe Brushes, Cashmere Brush and Horn Drinks Stirrers, along side our extensive Male Grooming Range and our traditional Shoehorn’s. So please pop along to meet Paul, Tracey and Marianne and discover our stunning range of unique gifts."
Accessories By Park Lane Ltd,https://homeandgift.co.uk/exhibitor/accessories-by-park-lane-ltd,website,United Kingdom,description
A Gift From The Gods,https://homeandgift.co.uk/exhibitor/a-gift-from-the-gods-17817712,agiftfromthegods.com,"London, United Kingdom","Fun, fashion accessories for Today's Goddess. Please contact our distributor My Gifts Trade kevinm@mygiftstrade.co.uk www.mygiftstrade.co.uk"
Alexander Thurlow Co,https://homeandgift.co.uk/exhibitor/alexander-thurlow-co,www.alexanderthurlow.com,"London, United Kingdom",We will be showing our unique range of British Flower Jewellery. We also specialise in Poppy products and are able to provide a bespoke design service for fashion related product .
Alex Clark Art Ltd,https://homeandgift.co.uk/exhibitor/alex-clark-art-ltd,www.alexclarkart.co.uk,"Consett, United Kingdom",description
Alljoy Design,https://homeandgift.co.uk/exhibitor/alljoy-design,www.alljoydesign.com,Ireland,description
Amica Accessories/ Feltworks,https://homeandgift.co.uk/exhibitor/amica-accessories-feltworks,www.amicafeltwholesale.com,"Bristol, United Kingdom","Here at Amica Felt we are all about beautiful, handmade and fair trade felt. We offer a gorgeous collection of Christmas decorations, toys gifts and homeware accessories. All items are designed at our studio in Bristol, then made with great skill and to the highest quality, by our fantastic team in Nepal. We look forward to meeting you and introducing you to our wonderful furry friends!"
Angelababy LTD,https://homeandgift.co.uk/exhibitor/angelababy-ltd,website,"Manchester, United Kingdom",description
