name,website
108 Group X Ubermilk,https://www.108group.co.uk/
19 Crimes,http://www.19crimes.com
3TEMP,https://3temp.com/
Abel & Cole,https://www.abelandcole.co.uk/
Absolut ,https://www.absolut.com/uk/
Allan Reeder,http://allanreederltd.co.uk 
Allpress Espresso Ltd,https://uk.allpressespresso.com/
Alpro,https://www.alpro.com/uk/
Amala Chai,https://www.amalachai.com/
Andronicas,https://www.andronicas.com/
Aroma Express,http://www.aromaexpress.de/index.php
Artisan Coffee School,https://www.artisancoffeeschool.co.uk/
Assembly Coffee,https://assemblycoffee.co.uk/
Astoria MC S.r.l.,http://www.astoria.com/
Bailies Coffee Roasters,https://www.bailiescoffee.com/
Barista & Co,https://baristaandco.com/
Batch Organics ,https://batch-organics.com/
Beyond The Bean,http://www.beyondthebean.com
Birchall Tea,http://www.birchalltea.co.uk
Black Sense,http://black-sense.de/?lang=en
Blak Nektar,https://www.blaknektar.coffee
Blue Diamond Almond Breeze,http://www.bluediamondalmonds.co.uk
Boca Labo ,https://bocalabo.com/
Bonsoy,https://bonsoy.com/
Bounce,https://uk.bouncefoods.com/
Boundless ,http://www.weareboundless.co.uk 
Brew Tea Co,https://www.brewteacompany.co.uk/
Brewed By Hand,https://www.brewedbyhand.com/
Brodies Segafredo Zanetti,https://segafredozanetti.co.uk/
Bunn,http://www.bunn.com/
Burning Tree,http://burningtree.megakunder.no/
BWT UK,http://www.bwt-uk.co.uk
Cafe de El Salvador,http://www.csc.gob.sv/
Cafè Success & Daily Grind,https://www.cafesuccesshub.com/
Cakesmiths,http://www.cakesmiths.com
Califia Farms,http://www.califiafarms.com
Calm Drinks,https://www.calmdrinks.co.uk/
Cawston Press,http://www.cawstonpress.com
Chika's,https://chikas.co.uk/
Circular & Co.,https://www.circularandco.com/
Clearspring,https://www.clearspring.co.uk/
Climpson & Sons,http://www.climpsonandsons.com
COFE App,https://cofeapp.com/
Coffee Omega UK ,https://www.coffeeomega.co.uk/
Compak Grinders,http://www.compakuk.com/
Conker Spirit,http://www.conkerspirit.co.uk
Conti Espresso,http://www.conti-espresso.co.uk
Cru Kafe,http://www.crukafe.com
Cuprima,https://efico.com/cuprima/
Curve Roasters,http://www.curveroasters.co.uk/
Dalston's Soda Co,https://dalstons.com/
