name,website,actual-website,company-overview
3D Aesthetics,https://www.olympiabeauty.co.uk/online/3d-aesthetics/,http://www.3d-aesthetics.co.uk,"3D Aesthetics are one of the key industry leaders in developing result driven, non-surgical devices for the beauty and aesthetics industries, and have been for over 10 years. We specialise in the development of non-surgical devices to target a universal array of concerns. From fat loss, skin tightening and cellulite reduction on the body; to ageing, congestion and pigmentation of the face; to hair reduction, tattoo removal and women’s health concerns."
A and A Glitter LTD,https://www.olympiabeauty.co.uk/online/a-and-a-glitter-ltd/,https://aandaglitter.com,"A&A Glitter is a leading store for all your unique glitter needs! We strive on giving you the highest quality glitters, with high standard customer service being our Number 1 priority."
AAXAcademy,https://www.olympiabeauty.co.uk/online/aaxacademy/,https://www.absoluteaestheticsx.com,"Welcome to AAXA (Absolute Aesthetics X Academy) a specialist aesthetics, beauty, barbering, hairdressing, make up and nails training academy based in Feltham.
Our experts have provided professional and accredited training to some of the most successful in industry.
All training is accredited and insurable.
Long courses are accredited with VTCT and you can be qualified in as little as 5 months.
Short courses are accredited with The Beauty Guild.
Aesthetics courses are accredited with The CPD Group."
Aces & Dolls,https://www.olympiabeauty.co.uk/online/aces-dolls/,https://www.acesanddolls.co.uk,"Aces & Dolls Professional Nail System
A complete range of acrylic nail products for both beginners and experienced nail techs, created by multi award winning nail technician, Elaine Moore. We also have a complete range of coloured acrylics, nail art supplies, preparation products, tips and sculpting forms and are distributors for Flexifinger Training Aids."
All That Sparkles,https://www.olympiabeauty.co.uk/online/all-that-sparkles/,Https://Www.allthatsparklesglitter.uk,"Cosmetic premium glitter
Nail art supplies
More coming soon"
Aquamassage Ltd,https://www.olympiabeauty.co.uk/online/aquamassage-ltd/,https://aquamassagetherapycushion.co.uk,"Aquamassage Ltd, Sponsors of The Lash Games 2019, would like to introduce our luxury comfort & support cushion and air-filled leg bolsters which supported the Clients lower back whilst they have their eyelash treatments. We also run fully accredited courses and Online training courses in Aquamassage."
Artistic,https://www.olympiabeauty.co.uk/online/artistic/,https://louellabelle.co.uk,"Artistic Professional Gel Nails Salon Supplies
Fun. Edgy. Exclusive. “An Innovation In Colour”. Artistic Nail Design was created by world renowned nail artists and nail product developers with the desire to fill the void in the professional nail market for a gel polish brand designed specifically for the true artist at heart. We pride ourselves on consistently developing innovative products that encourage Nail Artists to push the boundaries and explore new levels of creativity through their personal artistry. The core of the brand is our exceptional colour range. Each of our shades is individually conceptualised through inspiration and has their own unique story. We produce several colour collections annually to continuously provide you with a contemporary palette of shades."
BABTAC,https://www.olympiabeauty.co.uk/online/babtac/,https://www.babtac.com,"The British Association of Beauty Therapy and Cosmetology (BABTAC), established in 1977 is one of the UK’s leading membership and insurance provider for therapists. As a not-for-profit company we represent and support qualified professionals working in the hair and beauty industry, while reinvesting profits for the good of our sector. We campaign for best practice and high standards, supporting and promoting responsible therapists and businesses in our sector, while striving to educate and protect the general public. The BABTAC logo is a sign of confidence, displayed with pride by our members to reassure clients and the public that they are appropriately qualified, verified and committed to excellence."
Beauty City International,https://www.olympiabeauty.co.uk/online/beauty-city-international/,https://www.beautycityinternational.com/pricing/,"BCI is an Award Winning forward thinking digital PR & Marketing platform that works on getting you the R.O.I. your business deserves.
With over 30 years in the industry and working with some of the very best in Hair & Beauty such as: Tom Ford Beauty, Ashmira Botanica, Estee Lauder Companies, Better Body Clinics, Habia, Miss England and more…
Recently added to our platform is the fastest growing Hair & Beauty marketing directory platform."
Bellezi Premium Wellness Equipment,https://www.olympiabeauty.co.uk/online/bellezi-premium-wellness-equipment/,https://www.bellezi.com/en,"Bellezi was founded in 2009 by the brothers Bob & Joost Schwering. Minimalistic designs, quality and excellent service at an affordable price are our key focus.
By putting together a strong team of designers, specialists and commercial people, Bellezi has acquired a position in the highest segment of treatment chairs, wellness & massage beds at an international level. “To stand still is to go backwards”, therefore Bellezi mainly looks at its existing customers and the goal is always to improve in the future.
Meanwhile, Bellezi has grown into an internationally very active organization, with several major cosmetic brands, wellness centers and hotel chains as regular customers. With exports to more than 35 countries and thanks to various partners and collaborations worldwide, Bellezi gains brand awareness all over the world."
