name,website,actual-website,company-overview
3S POS,https://www.restauranttechlive.co.uk/exhibitors/3s-pos/,https://www.3s-pos.com/,"3S POS offers one of the most flexible EPOS systems, produced and updated over the years through in-house software development expertise.

The solution is suitable for all types of dining experiences, including casual and fine dining restaurants, takeaway, quick service, bars, cafés and hotels. It has been fashioned to the accumulative requirements and specifications of a variety of clients and is trusted by international brands such as AMT coffee, Cafe Concerto, Maroush, Comptoir Libanais, Pepe`s and hundreds more delighted customers.

The 3S POS system is accessible for any future development and can be customised to fit exact business and operational requirements. It features integrated Chip & Pin, handheld operation, integration with online ordering and reservations, kitchen display and guest tracking. Back-of-house, you can take advantage of over 25 powerful features such as full and detailed real-time reporting, staff and rota management, head office tools, customer relationship management and financial third-party feeds.

3S POS also brings together multiple solutions by offering seamless integrations with delivery aggregates, Orderlord, Sage, Xero and white-label loyalty mobile apps.
The system is designed to help you manage all aspects of business to maximise ROI, add value to your brand and streamline operations, thus increasing profits.
Intuitive front interface and powerful back office tools allow you to manage:

• Bespoke Reporting
• Stock Control
• CRM & Loyalty Management
• Kitchen Display Systems
• Handheld Ordering
• Head Office Management
• Staff & Rota Management
• Live Table Bookings
• Graphical Table Management
• Mobile Payment Solutions"
Access Hospitality,https://www.restauranttechlive.co.uk/exhibitors/the-access-group/,http://www.theaccessgroup.com/hospitality,"Access Hospitality supports operators with all aspects of day-to-day operations.

Access Hospitality (part of The Access Group) is one of the UK`s leading providers of software to the hospitality market. Built by combining some of the market`s award winning, best-of-breed solutions, its unique position is in being able to support multi-site pubs & bars, restaurants, hotels, leisure and food-to-go establishments in all day-to-day operations, helping them reduce costs, improve staff engagement and deliver great guest experiences.

Access Hospitality supports operators with all aspects of day-to-day operations from reservations, ticketing, EPoS, procurement, property maintenance and finance through to your most important asset, your people. Its innovative Access Workspace technology transforms the way business software is used, giving every employee the freedom to do more.

Established in 1991, The Access Group, with an enterprise valuation of £1billion, helps more than 16,000 customers and employs more than 1,500 staff.

Find out more at www.theaccessgroup.com/hospitality"
All Grease Gone Ltd.,https://www.restauranttechlive.co.uk/exhibitors/all-grease-gone-ltd/,http://www.grease-gone.co.uk/,"Your Simplest And Most Efficient Kitchen And Vent Cleaning Provider!

J&I Grease Gone are the UK`s largest kitchen and vent deep cleaning specialists, delivering professional trusted solutions nationwide for over 20 years.

Our aim is to assist those responsible for kitchen and vent hygiene by presenting them with an efficient platform to access our dedicated specialists, who are the UK`s most reliable, trusted and trained kitchen and vent cleaning technicians.

At J&I Grease Gone we provide national coverage for a range of specialist cleaning services, from kitchen and vent deep cleaning, high-level cleaning and fire damper testing.

Our consistent effective solutions for all services ensure you a peace of mind, allowing you to get on with running your business."
Allergy Menu Ltd,https://www.restauranttechlive.co.uk/exhibitors/allergy-menu-ltd/,https://allergymenu.uk/,"Allergy Menu provide a simple to use menu App. Our app allows your customers to view and filter your menu by allergies & food preferences.


- Meet regulations for allergy information in one simple step.
- Ensure your menu allergens are always accurate and up to date.
- Improve your customer experience for allergy sufferers, vegans and veggies.
- No need to re-print menus if you change ingredients.
- Handy email reminders to check your menu.
- Stop front of house staff making mistakes
- Keep your customers safe from harm."
Alpha Digital Networks PLC,https://www.restauranttechlive.co.uk/exhibitors/alpha-digital-networks-plc/,https://www.adnplc.com/,"Alpha Digital Networks PLC supplies high quality Audio Visual equipment.

Alpha Digital Networks PLC manufactures, supplies, installs and supports an extensive range of high quality interactive touch screen and Audio Visual (AV) equipment to the corporate, education and retail sectors. Whether it's a board room, restaurant or retail outlet we have the AV solution to suit your needs and your budget.

Our products include 4K interactive touch screens, video walls, LED screens, interactive touch screen furniture, freestanding digital signage and digital signage fridges."
Appkazoo,https://www.restauranttechlive.co.uk/exhibitors/appkazoo/,https://www.appkazoo.com/home,"Increase Sales With a Multi-Screen Website
Your website is the window to your business. With Appkazoo, you can get ahead of the competition and give your customers a great online experience on any device.
Your website is optimised independently for desktop, tablet and mobile. Increase customer engagement and watch your traffic soar. Our powerful website editor makes it easy to update text, add promotions, change images or even add new pages.

Appkazoo Chat SuperBots use smart Marketing Scripts combined with Artificial & Human Intelligence to create proactive & personalised conversations that convert visitors into more qualified leads & sales.

The new mobile standard is here. Combining the latest in smartphone and web technology, we can build an app for your business that is highly discoverable. We drive more users to your app resulting in increased customer engagement, sales and repeat business.

Leveraging the highly flexible platform provided by Appkazoo Social, you can have a social network fully branded for you & your community

A great website counts for nothing if people can’t find it! That’s why search engine optimisation is critical. Our proven SEO programmes will help your website rank higher, giving your business the online visibility it needs in order to succeed.

Choose and define the exact customer segment you want to reach. Facebook’s detailed and comprehensive targeting options guarantee your ads are seen only by your selected segment to maximise results."
Attensi,https://www.restauranttechlive.co.uk/exhibitors/attensi/,https://attensi.com/,"Unleash employee potential through Attensi Simulation-Based Training!

Attensi is the global leader in 3D gamified simulation training for large corporations, creating a ‘learning by doing’ environment in a virtual 3D setting. By using a unique blend of gamification and realism, combined with deep and varied interactivity that is powered by our game AI, training is made fun and engaging.

A growing number of companies are also using the Attensi training as part of their recruitment efforts. This enables them to provide applicants with a virtual taste of what real life in their company would be like, improving the recruitment process and significantly speeding up onboarding of new staff.

Attensi have offices in Norway, UK and the US and our simulation training solutions are in use by global brands in more than a hundred countries and 20 different languages."
BenQ,https://www.restauranttechlive.co.uk/exhibitors/benq/,https://business-display.benq.eu/en-uk/index.html,company-overview
BeviLaNatura by Zerica,https://www.restauranttechlive.co.uk/exhibitors/bevilanatura/,http://www.bevilanatura.com/,"Multi-award winning touchscreen beverage solutions: IoT-enabled management with remote modification.

The BeviLaNatura by Zerica team will be arriving at Coffee Shop Innovation Expo fresh from winning a FOURTH international prize: a covetedÂ Host SMART Label 2019 Award in Milan this October for 'Interaction, connectivity, internet of things`. The incredible Hot`n`Cold dispenses coffee, iced coffee, hot tea, iced tea, hot water, juice and chilled water all from one elegant, compact machine. Clean, quick, easy, no mess drinks delivery with no pesky coffee grounds in sight.

If that wasn`t enough, it has just been announced that Zerica`s brand new internet connected and IoT-enabled touchscreen water coolers are finalists in the Light Equipment category of the Catering Insight Awards 2019! Described as `an innovative range which provides a step change for theÂ industry`, these compact and elegant units cater for a wide variety of market needs.

So, what`s the secret to all of this success?

In a word, it`s AUXILIA, our exclusive IoT-enabled remote monitoring and management software used in all the touchscreen models. AUXILIA continues to impress in the current market, particularly with the spotlight so clearly on sustainability: With such a vast array of data at your fingertips accessed via PC or smartphone, remote technical support has never been easier!

At Coffee Shop Innovation, the Hot`n`Cold will be joined by the OnTop, a cold drinks only version, plus some of Zerica`s touchscreen water dispensers from the new range such as the ultra-compact Kolumna and free-standing Kemonia.

Come and find out about all things IoT, have a drink on us, fill up your refillable water bottles/coffee cups while you`re at it, and make Greta proud!

More information and products available at:

uksales@bevilanatura.com"
Bleep UK PLC,https://www.restauranttechlive.co.uk/exhibitors/bleep-uk-plc/,https://www.bleepplc.co.uk/,"Bleep UK PLC is an award-winning designer, manufacturer and supplier of EPOS systems and Payment solutions for the hospitality, retail and events industries - with over 37 years' experience servicing customers in these environments.

We aim to add value to your operation through easy to use, intuitive and innovative EPOS and Payment systems, designed to grow alongside your business.

EPOS should mean much more than just a till and a means through which businesses can accept and record transactions.

An EPOS system should help you to increase revenue, speed up transactions, boost customer engagement, enhance your customer experience and build loyalty.

This allows your staff to work more efficiently and productively and provides owners and management with a greater level of control over your business.

Investment in Bleep Point of Sale technology can help you to achieve all this and more.

As the trusted, industry experts, Bleep strives to make the life of hospitality operators easier through our innovative EPOS technology - for the front and back of house.

From fine dining to cafés, pubs to trendy cocktail bars, family-run single-site establishments to multi-site groups - we have a proven track record designing, deploying and supporting our robust and reliable, all-in-one EPOS and Payment solutions."
Blend App,https://www.restauranttechlive.co.uk/exhibitors/blend-app/,https://www.blend.app/,"Get rid of the paperwork.
Schedule your staff in seconds, simplify team communication, and manage your employee payroll easily.

- Save valuable time managing staff schedules with Blend`s simple scheduling software. Create and share your weekly staff rota in seconds and notify your staff when they`re working.
- Monitor and approve leave and time off requests on the go. Reduce back-and-forth by managing your team`s time off and leave balances and assigning fixed days off to individual team members
- Save hours on workforce management by using Blend`s Autofill employee schedule generator to make and share your rota in seconds. Blend makes team scheduling fast, fair and fun!"
