name,website,address,description
AQUA WAREHOUSE GROUP,http://www.aquawarehouse.co.uk/,Address Unit 1- 3 Rignals Lane Chelmsford Essex CM2 8RF United Kingdom,".Aqua Spa Supplies is the UK's largest independant Spa Accessory distributor to the Hot Tub trade.
Stocking every item imaginable for your hot tub needs with an easy online ordering and swift delivery.
easy!"
AQUAFINESSE (UK),http://www.aquafinesse.com/,Address Delfryn Hayscastle Haverfordwest Pembrokeshire SA62 5QG United Kingdom,"Just one weekly dose of AquaFinesse offers unsurpassed spa or pool water quality thanks to its unique preventive properties!
Cleans – Crystal clear, clean water
Protects – Gentle on the skin, safe for the environment
Enjoy – Less time maintaining your water, more time to enjoy it!
  The patented technology behind AquaFinesse has proven to be revolutionary and years ahead of its time as it demonstrates consistent outstanding results.
The Special Water team have succeeded in addressing the real cause of bacterial pollution by developing a range of products to mitigate biofilm in an environmentally friendly way, which until now was only achievable by using the harshest of chemicals, with their well documented disadvantages such as toxic action to the environment and corrosion causing properties.
AquaFinesse products are not biocides and do not contain complicated organic compounds. They work simply by loosening the biofilm (slimy layers) from their substrate, to keep your pool, swim spa or hot tub clean and crystal clear.
Our products are so gentle that tests carried out on AquaFinesse  show no toxic effect on macro fauna or fish.
AquaFinesse offers you environmentally friendly water care solutions that work.
Sit back, relax and enjoy the water treatment products of AquaFinesse!"
AQUAFLEX LTD,http://www.aquaflex.co.uk/,Address 1 Edison Road Churchfield Industrial Estate Salisbury Wiltshire SP2 7NU United Kingdom,The UK's Leading Liner Specialists
ASTRALPOOL UK LIMITED,http://www.astralpooluk.com/,Address Units 30-32 Palmerston Industrial Estate Newgate Lane Fareham Hampshire PO14 1DJ United Kingdom,"AstralPool UK is part of Fluidra Group, one of the worlds largest suppliers of equipment for private and public swimming pool, wellness centers."
BLUE WHALE SPA,https://www.bluewhalespa.com/,Address Blue Whale Spa 11 Glaisdale Drive East Nottingham Nottingham Nottinghamshire NG8 4GU United Kingdom,"Blue Whale Spa Ltd is a UK-owned, multi award-winning hot tub manufacturer, focusing on producing competitively priced, high-quality products using the latest technology supported by comprehensive warranties and dedicated after-sales service. We boast in-house facilities for design, research, and development - working with established American partner companies. European standards are met and exceeded, as all our products meet CE, ISO, and ROHS European regulations.
Our success in providing an excellent service and product can be demonstrated through our 5* feefo rating. We have also won multiple awards including Manufacturer of the Year (2014), Best Company In Retail at the UK Business Awards (2017), Spa Product of the Year (2017) and Spa Showroom of the Year (2017). We believe our high customer satisfaction and multiple awards is a testament to our fantastic product quality and our above and beyond customer service.
Come and see us on stand G30 where you can learn more about our range and what we have to offer."
BRITISH SWIMMING POOL FEDERATION,website,address,description
CALOREX HEAT PUMPS,website,address,description
CERTIKIN INTERNATIONAL LTD,http://www.certikin.co.uk/,"Address Unit 9, Witan Park, Avenue Two Station Lane Ind Estate Witney Oxfordshire OX28 4FJ United Kingdom",description
COMPLETE POOL CONTROLS LTD,http://www.cpc-chemicals.co.uk/,Address Unit 2 The Park Stoke Orchard Cheltenham Gloucestershire GL52 7RS United Kingdom,"Complete Pool Controls Ltd is a leading independent company supplying recreational water treatment chemicals and dosing equipment. Our extensive range of chemicals for swimming pools and hot tubs is available through an extensive UK dealer network.
We offer our partners a complete solution which includes training, technical support, water testing, equipment, integrated monitoring systems as well as water treatment chemicals which meet latest standards. These elements combined ensure you and your customers receive the best products, service and support possible."
CRANBOURNE STONE LTD,http://www.cranbournestone.co.uk/,Address Unit 1 Houghton Down Farm Stockbridge Hampshire SO20 6JR United Kingdom,"Experts in Manufacturing Pool Copings and Deck Level Grilles.
Cranbourne Stone is a well-established family-run business in Stockbridge, Hampshire. We specialise in providing swimming pool surrounds, landscape and interiors using bespoke natural stone and slip-resistant porcelain.
We are appearing at Spatex and will be on stand A13 where we will offer our usual friendly welcome and share news on our exciting products and plans for 2019.
These include our popular template service for free-form shaped pools. It takes the strain away from the pool installer as copings can be made to measure and drawings can be provided.
We will continue to use our pool installation experience to create perfect fitting copings for every job to help make yours less stressful and look forward to building more relationships with pool builders, architects, landscapers and other industry experts.
Head on over to our stand for a virtual glimpse at the wide variety of high-quality and unique swimming pool surrounds, landscape and interiors design options available to you.
So, whether you’re already a friend and want to catch up on our plans for 2019, or you’re looking to start the new year working with a supplier you can trust and rely on."
DESIGNWORKS TILES,http://www.designworkstiles.com/,Address Designworks Tiles Falcon Road Exeter Devon EX2 7LF United Kingdom,"Designworks Tiles is a supplier of high-end tiles for commercial use. The brand's dynamic corporate strategy is based on providing stunning, versatile tiling solutions to architects, contractors and the HORECA business sector. Its wide range of products includes swimming pool and spa mosaics and tiles, porcelain, glass and stone tiles, as well as bespoke creations and heritage collections."
EARTH SPAS,website,"Address Unit 3, Larchwood Business Centre Larchwood Avenue Havant Hampshire PO9 3BE United Kingdom",description
EUROSPAPOOLNEWS,http://www.eurospapoolnews.com%2C%20www.piscinespa.com/,Address I.M.C. - International Media Communication 206 avenue Janvier Passero Mandelieu 6210 France,"EUROSPAPOOLNEWS
The unique concept of EuroSpaPoolNews.com is to target and inform swimming pool and spa professionals about new products and news relating to the European and wider international markets, through:
WEB www.eurospapoolnews.com
E-Newsletters
Printed editions
Social Networks
SPECIAL PROS - the B2B magazine for the French market
Find all the news
and the latest Pool & Spa
market trends.
Stay informed about the latest sales techniques,
events and upcoming training
programs.
Build your network,
find your future partners,
promote your company
and share your point of view.
Every year a special edition
reserved exclusively for
Commercial Pools and Spas
37 200 contacts.
     "
FAIRLOCKS POOL PRODUCTS,website,address,description
